id,token_id,price,hostess_name,image_uri,commission_rate,payout,buyer,affiliate,contract_address,tier,paid_at
15.1, 15, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x20670301CD973De5129700D5f5326C26FD8463be, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576156000000
15.2, 15, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576156000000
16.1, 16, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x20670301CD973De5129700D5f5326C26FD8463be, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576156000000
16.2, 16, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576156000000
17.1, 17, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x20670301CD973De5129700D5f5326C26FD8463be, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576156000000
17.2, 17, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576156000000
18.1, 18, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x20670301CD973De5129700D5f5326C26FD8463be, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576156000000
18.2, 18, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576156000000
19.1, 19, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x20670301CD973De5129700D5f5326C26FD8463be, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576156000000
19.2, 19, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576156000000
20.1, 20, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 20, 16000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x20670301CD973De5129700D5f5326C26FD8463be, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576156000000
20.2, 20, 80000000000000000, Vivienne Allure, https://ik.imagekit.io/blockster/vivienne.jpg, 5, 4000000000000000, 0x60Cf089F08Ea3fd0aE62552C8dd96F3b4c946251, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576156000000
21.1, 21, 80000000000000000, Luna Mirage, https://ik.imagekit.io/blockster/luna.jpg, 20, 16000000000000000, 0xFacF00FFE1833C744a39A23A7107DCDFF3E5ff44, 0x5ccfF6105479356a458157f1228Ea40fE10e2D54, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576273000000
21.2, 21, 80000000000000000, Luna Mirage, https://ik.imagekit.io/blockster/luna.jpg, 5, 4000000000000000, 0xFacF00FFE1833C744a39A23A7107DCDFF3E5ff44, 0x315443Bf8fBA3d9A38b11300E921a97b991d8C24, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 2, 1722576273000000
22.1, 22, 80000000000000000, Luna Mirage, https://ik.imagekit.io/blockster/luna.jpg, 20, 16000000000000000, 0xFacF00FFE1833C744a39A23A7107DCDFF3E5ff44, 0x5ccfF6105479356a458157f1228Ea40fE10e2D54, 0x7176d2edd83aD037bd94b7eE717bd9F661F560DD, 1, 1722576273000000
